GEOID,tract_name,population
17119400600,Census Tract 4006,2378
17119400801,Census Tract 4008.01,1784
17143004902,Census Tract 49.02,4961
17143004500,Census Tract 45,4892
17143003800,Census Tract 38,3050
17143000300,Census Tract 3,1792
17077011702,Census Tract 117.02,2768
17077011001,Census Tract 110.01,1653
17029000300,Census Tract 3,4293
17077011701,Census Tract 117.01,1354
17077010601,Census Tract 106.01,1970
17077011002,Census Tract 110.02,4495
17029000400,Census Tract 4,2629
17115000600,Census Tract 6,1625
17115000400,Census Tract 4,1175
17143001300,Census Tract 13,1745
17115002001,Census Tract 20.01,1039
17019000700,Census Tract 7,3290
17115000502,Census Tract 5.02,2415
17163500900,Census Tract 5009,2485
17093890201,Census Tract 8902.01,4416
17113005102,Census Tract 51.02,7385
17143000200,Census Tract 2,1513
17143004102,Census Tract 41.02,3086
17143003900,Census Tract 39,9246
17143004101,Census Tract 41.01,7350
17143004802,Census Tract 48.02,4210
17143003402,Census Tract 34.02,4276
17143004600,Census Tract 46,5052
17143003601,Census Tract 36.01,2815
17143003300,Census Tract 33,3021
17143004801,Census Tract 48.01,4355
17143000900,Census Tract 9,2723
17143001200,Census Tract 12,1467
17085020102,Census Tract 201.02,2460
17085020101,Census Tract 201.01,1778
17113005401,Census Tract 54.01,7291
17113005402,Census Tract 54.02,3708
17113000506,Census Tract 5.06,3752
17119400802,Census Tract 4008.02,5869
17143000600,Census Tract 6,2560
17143002200,Census Tract 22,4082
17143003200,Census Tract 32,4142
17179021802,Census Tract 218.02,1939
17179021603,Census Tract 216.03,5752
17043840102,Census Tract 8401.02,4734
17043840103,Census Tract 8401.03,6440
17179021701,Census Tract 217.01,5916
17179020500,Census Tract 205,4267
17179021201,Census Tract 212.01,4919
17097860807,Census Tract 8608.07,3469
17179022100,Census Tract 221,3352
17179021702,Census Tract 217.02,5547
17179022300,Census Tract 223,6033
17179020302,Census Tract 203.02,4929
17179021203,Census Tract 212.03,4866
17179022000,Census Tract 220,4090
17179021202,Census Tract 212.02,3139
17179020100,Census Tract 201,2458
17179020301,Census Tract 203.01,4544
17179021801,Census Tract 218.01,5040
17179021500,Census Tract 215,6940
17179021606,Census Tract 216.06,6158
17179020700,Census Tract 207,4281
17113001105,Census Tract 11.05,4744
17113005900,Census Tract 59,4100
17019000800,Census Tract 8,6052
17113006000,Census Tract 60,3694
17031802610,Census Tract 8026.10,1757
17031802609,Census Tract 8026.09,6290
17197881111,Census Tract 8811.11,2971
17031030601,Census Tract 306.01,3293
17031081202,Census Tract 812.02,3357
17031063303,Census Tract 633.03,1274
17027900100,Census Tract 9001,6512
17027900200,Census Tract 9002,1910
17027900500,Census Tract 9005,5664
17027900300,Census Tract 9003,6928
17161021900,Census Tract 219,1594
17019000200,Census Tract 2,2266
17019000500,Census Tract 5,3608
17111870603,Census Tract 8706.03,4357
17089854200,Census Tract 8542,4700
17179021605,Census Tract 216.05,2642
17179021900,Census Tract 219,4351
17179022200,Census Tract 222,4449
17179022400,Census Tract 224,4671
17089854100,Census Tract 8541,4117
17197884003,Census Tract 8840.03,4400
17161021000,Census Tract 210,3812
17161021100,Census Tract 211,3862
17169970300,Census Tract 9703,1747
17169970200,Census Tract 9702,3068
17169970100,Census Tract 9701,2087
17043840202,Census Tract 8402.02,5065
17043844402,Census Tract 8444.02,4670
17167002001,Census Tract 20.01,3711
17167003702,Census Tract 37.02,4234
17031809700,Census Tract 8097,3714
17031809800,Census Tract 8098,2678
17031809900,Census Tract 8099,3046
17031720200,Census Tract 7202,4131
17031720300,Census Tract 7203,3637
17031251000,Census Tract 2510,1075
17031251100,Census Tract 2511,4468
17031818100,Census Tract 8181,2330
17031826100,Census Tract 8261,5931
17031730500,Census Tract 7305,4220
17031810502,Census Tract 8105.02,5355
17031818402,Census Tract 8184.02,3282
17031160900,Census Tract 1609,2410
17031829200,Census Tract 8292,5547
17031829301,Census Tract 8293.01,3931
17031818800,Census Tract 8188,5692
17031161000,Census Tract 1610,1899
17031828401,Census Tract 8284.01,3598
17149952600,Census Tract 9526,2915
17149952800,Census Tract 9528,2094
17149952500,Census Tract 9525,2431
17149952400,Census Tract 9524,2937
17031630300,Census Tract 6303,5385
17031630500,Census Tract 6305,6271
17031241100,Census Tract 2411,3574
17031241600,Census Tract 2416,3534
17031241300,Census Tract 2413,1848
17031241400,Census Tract 2414,5273
17031630800,Census Tract 6308,6641
17031630900,Census Tract 6309,5204
17031640100,Census Tract 6401,1312
17031711100,Census Tract 7111,2499
17031711200,Census Tract 7112,4687
17031711500,Census Tract 7115,2372
17031650100,Census Tract 6501,4765
17031650200,Census Tract 6502,7251
17031803607,Census Tract 8036.07,4819
17031809500,Census Tract 8095,4346
17031809600,Census Tract 8096,3319
17031811401,Census Tract 8114.01,5001
17031820300,Census Tract 8203,5588
17091011500,Census Tract 115,1987
17031010300,Census Tract 103,6305
17031010400,Census Tract 104,5079
17031010600,Census Tract 106,6225
17009970400,Census Tract 9704,2349
17031611800,Census Tract 6118,2205
17031826500,Census Tract 8265,5614
17031825302,Census Tract 8253.02,5938
17031824107,Census Tract 8241.07,6747
17031240200,Census Tract 2402,1556
17031824105,Census Tract 8241.05,7297
17031100200,Census Tract 1002,7024
17031830202,Census Tract 8302.02,3377
17031061200,Census Tract 612,1932
17091011100,Census Tract 111,1873
17197881011,Census Tract 8810.11,3401
17043846004,Census Tract 8460.04,3756
17031150402,Census Tract 1504.02,3831
17031440101,Census Tract 4401.01,4171
17031301701,Census Tract 3017.01,4279
17197880510,Census Tract 8805.10,3187
17031804509,Census Tract 8045.09,6012
17043841326,Census Tract 8413.26,3356
17043841314,Census Tract 8413.14,6288
17043841404,Census Tract 8414.04,3223
17137952300,Census Tract 9523,3210
17137951600,Census Tract 9516,3146
17137952000,Census Tract 9520,3786
17079977400,Census Tract 9774,2671
17031829401,Census Tract 8294.01,1049
17031806004,Census Tract 8060.04,7554
17031806300,Census Tract 8063,4687
17043845811,Census Tract 8458.11,3891
17031150401,Census Tract 1504.01,4681
17031150502,Census Tract 1505.02,4239
17031110502,Census Tract 1105.02,3220
17031580501,Census Tract 5805.01,5170
17031580502,Census Tract 5805.02,5345
17031730201,Census Tract 7302.01,5627
17031301802,Census Tract 3018.02,3376
17201003605,Census Tract 36.05,1963
17201000402,Census Tract 4.02,3009
17197883809,Census Tract 8838.09,3630
17043844305,Census Tract 8443.05,3962
17197880305,Census Tract 8803.05,5410
17043846003,Census Tract 8460.03,4490
